#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1800	200	32362718	32362718	3479	3479.000
600	200	32362718	32362718	51541	51541.000
1950	800	32362718	32362718	2537	2537.000
1850	1400	32362718	32362718	3095	3095.000
1150	450	32362718	32362718	16735	16735.000
1300	700	32362718	32362718	4113	4113.000
1250	300	32362718	32362718	8750	8750.000
600	375	32362718	32362718	53864	53864.000
1600	100	32362718	32362718	2701	2701.000
1050	400	32362718	32362718	22167	22167.000
2000	700	32362718	32362718	2540	2540.000
1200	850	32362718	32362718	9762	9762.000
1950	1450	32362718	32362718	1658	1658.000
1150	400	32362718	32362718	15740	15740.000
1450	800	32362718	32362718	2188	2188.000
2000	1100	32362718	32362718	1161	1161.000
1300	750	32362718	32362718	8905	8905.000
1350	1125	32362718	32362718	3945	3945.000
1850	850	32362718	32362718	2273	2273.000
1800	1300	32362718	32362718	1758	1758.000
1100	800	32362718	32362718	23099	23099.000
1900	1050	32362718	32362718	2735	2735.000
1850	700	32362718	32362718	1962	1962.000
1300	800	32362718	32362718	7385	7385.000
900	675	32362718	32362718	21402	21402.000
1650	1150	32362718	32362718	2511	2511.000
1950	1400	32362718	32362718	3655	3655.000
1500	600	32362718	32362718	3840	3840.000
1600	950	32362718	32362718	3729	3729.000
1500	1200	32362718	32362718	2253	2253.000
1700	850	32362718	32362718	3545	3545.000
950	350	32362718	32362718	26324	26324.000
2000	200	32362718	32362718	3490	3490.000
1650	1350	32362718	32362718	1304	1304.000
1100	875	32362718	32362718	21071	21071.000
900	600	32362718	32362718	21884	21884.000
1300	850	32362718	32362718	4491	4491.000
1050	550	32362718	32362718	24733	24733.000
1350	600	32362718	32362718	3781	3781.000
2000	1350	32362718	32362718	2987	2987.000
700	100	32362718	32362718	19071	19071.000
1550	900	32362718	32362718	3281	3281.000
1150	350	32362718	32362718	13385	13385.000
1500	1250	32362718	32362718	1879	1879.000
1400	650	32362718	32362718	3120	3120.000
1100	450	32362718	32362718	21395	21395.000
1800	800	32362718	32362718	2816	2816.000
1550	1000	32362718	32362718	3884	3884.000
1150	650	32362718	32362718	12411	12411.000
1450	1050	32362718	32362718	2584	2584.000
1950	100	32362718	32362718	1937	1937.000
800	200	32362718	32362718	19873	19873.000
1550	200	32362718	32362718	2991	2991.000
1300	300	32362718	32362718	5777	5777.000
1700	900	32362718	32362718	2364	2364.000
1900	1350	32362718	32362718	2008	2008.000
1200	700	32362718	32362718	9270	9270.000
1350	950	32362718	32362718	4495	4495.000
1600	1050	32362718	32362718	1235	1235.000
1200	900	32362718	32362718	10089	10089.000
1300	350	32362718	32362718	5424	5424.000
1600	300	32362718	32362718	2531	2531.000
1550	800	32362718	32362718	3328	3328.000
1600	900	32362718	32362718	3793	3793.000
1650	500	32362718	32362718	3583	3583.000
900	500	32362718	32362718	20447	20447.000
1600	600	32362718	32362718	2188	2188.000
1650	1400	32362718	32362718	3257	3257.000
1900	1200	32362718	32362718	4250	4250.000
1950	700	32362718	32362718	2710	2710.000
1350	450	32362718	32362718	4883	4883.000
1800	1400	32362718	32362718	3113	3113.000
1700	600	32362718	32362718	3197	3197.000
1900	1250	32362718	32362718	2030	2030.000
1300	600	32362718	32362718	5663	5663.000
1250	200	32362718	32362718	8315	8315.000
1650	1425	32362718	32362718	3588	3588.000
1150	500	32362718	32362718	12705	12705.000
1350	400	32362718	32362718	2979	2979.000
1450	500	32362718	32362718	2386	2386.000
1000	600	32362718	32362718	18607	18607.000
1050	500	32362718	32362718	25100	25100.000
1750	750	32362718	32362718	3282	3282.000
1850	600	32362718	32362718	2003	2003.000
1600	800	32362718	32362718	3288	3288.000
1250	700	32362718	32362718	8688	8688.000
1850	1050	32362718	32362718	2920	2920.000
1900	1150	32362718	32362718	1791	1791.000
1550	500	32362718	32362718	2505	2505.000
750	450	32362718	32362718	22065	22065.000
2000	1050	32362718	32362718	2104	2104.000
1500	850	32362718	32362718	3668	3668.000
1500	1150	32362718	32362718	2676	2676.000
1450	550	32362718	32362718	2010	2010.000
1350	0	32362718	32362718	4078	4078.000
1450	850	32362718	32362718	3178	3178.000
1550	0	32362718	32362718	2192	2192.000
2000	0	32362718	32362718	2570	2570.000
1300	100	32362718	32362718	4462	4462.000
950	725	32362718	32362718	22530	22530.000
1850	1300	32362718	32362718	1843	1843.000
1000	400	32362718	32362718	21818	21818.000
1900	1550	32362718	32362718	1757	1757.000
1600	650	32362718	32362718	3143	3143.000
1700	1400	32362718	32362718	2653	2653.000
850	300	32362718	32362718	19783	19783.000
900	200	32362718	32362718	21732	21732.000
1850	100	32362718	32362718	2661	2661.000
1250	450	32362718	32362718	6377	6377.000
900	550	32362718	32362718	20467	20467.000
950	650	32362718	32362718	18346	18346.000
1750	1300	32362718	32362718	3216	3216.000
1550	400	32362718	32362718	3546	3546.000
700	400	32362718	32362718	21217	21217.000
1050	700	32362718	32362718	19106	19106.000
1950	600	32362718	32362718	3956	3956.000
1400	600	32362718	32362718	3001	3001.000
1900	1450	32362718	32362718	3554	3554.000
1000	100	32362718	32362718	20143	20143.000
2000	300	32362718	32362718	2061	2061.000
1350	750	32362718	32362718	5855	5855.000
1450	200	32362718	32362718	2401	2401.000
1600	0	32362718	32362718	3586	3586.000
2000	900	32362718	32362718	2136	2136.000
1450	1100	32362718	32362718	3716	3716.000
